annuel	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2019	Béni Mellal-Khénifra	2169,766947	2530,212943	2959,076528	2225,315674	2354,239693	3009,368924	2663,73019	2725,699067	2848,211829
2019	Drâa-Tafilalet	2441,597485	2637,19087	2694,570018	2141,377569	2869,218954	2608,928155	2452,800824	2639,109165	2628,047507
2019	Eddakhla-Oued Eddahab	5758,485753	3101,590643	3170,076562	2150,655827	3145,062802	4035,401377	2566,767677	2653,495651	3143,498861
2019	Fès-Meknès	1926,058566	2608,997248	3225,320057	3148,550999	2866,460373	3138,508031	2946,799573	3468,838574	3020,389843
2019	Grand Casablanca-Settat	2815,656483	3846,573576	5263,155902	4503,587353	3440,940513	5090,709313	4849,947017	5270,528307	5679,072051
2019	Guelmim-Oued Noun	3992,549523	2788,074775	2801,179686	2079,495194	2246,157217	2874,998782	2716,790742	2531,08543	3031,381515
2019	Laayoune-Sakia El Hamra	4568,379848	3010,065717	3320,877134	2209,63379	3273,473222	2675,866017	2493,7072	2612,310688	3063,230405
2019	Marrakech-Safi	2625,366203	3038,356005	3407,07092	4066,49812	4403,436512	3176,777722	3273,978754	3518,006271	3595,726285
2019	Oriental	2046,738348	2941,816743	2982,12169	2554,00059	2370,916898	3029,279031	2903,275452	2771,891749	3151,535498
2019	Rabat-Salé-Kénitra	1696,452247	3172,002782	3769,56295	4134,374753	3281,544379	3956,684618	3802,906301	4950,267669	3616,718641
2019	Souss-Massa	2547,88171	2790,243875	3533,153067	3116,839342	3573,650453	3310,830223	3178,518817	3198,708435	3652,020248
2019	Tanger-Tetouan-Al Hoceima	2086,311134	3076,256463	3549,304964	3547,302536	3172,540003	3514,85286	3290,812413	3753,525109	5090,110926
2020	 Marrakech-Safi	2714,145415	3024,416534	3395,377492	4303,272024	3940,479245	3183,143111	3305,708472	3471,716289	3401,034274
2020	 Rabat-Salé-Kénitra	1728,293267	3209,639298	3841,475648	3986,809591	2980,365763	3870,442005	3808,411394	4922,415558	3748,378927
2020	 Souss-Massa	2610,722471	2836,433166	3551,278212	3184,84182	3361,980815	3388,345874	3302,686994	3207,089822	3604,323541
2020	Béni Mellal-Khénifra	2096,423462	2570,162354	2923,509411	2168,037368	2199,25073	2973,446299	2894,56628	2688,921418	2769,078217
2020	Drâa-Tafilalet	1737,122612	2716,442028	2686,861427	2057,130077	2677,041883	2642,954761	2523,842198	2682,852605	2460,640153
2020	Eddakhla-Oued Eddahab	5052,499762	3035,092497	3150,978721	2168,77617	2817,409688	4182,337257	2582,879851	2909,508211	4216,181301
2020	Fès-Meknès	2176,649415	2590,510906	3187,254112	3137,997638	2680,657188	3159,037949	2935,379166	3421,620431	3087,351525
2020	Grand Casablanca-Settat	2898,765381	3852,554809	5197,509157	4469,865405	3207,580017	5026,431249	4696,24099	5371,515688	5535,2357
2020	Guelmim-Oued Noun	3774,505198	2831,026753	2902,203487	2058,558325	1759,825915	3059,976649	2775,070683	2709,544073	3003,262369
2020	Laayoune-Sakia El Hamra	4501,918854	3014,538376	3356,026662	2275,074421	3158,203346	2611,912382	2586,224964	2745,2586	3050,4266
2020	Oriental	2038,138199	2981,30787	2999,916888	2538,96144	2298,653459	2715,500499	2862,982988	2646,538275	3337,259075
2020	Tanger-Tetouan-Al Hoceima	2064,784403	3052,650455	3627,900473	3528,015021	2867,323178	3514,397221	3297,576322	3720,751663	5093,889461
2021	 Marrakech-Safi	2954,971188	3092,26849	3464,34649	4733,198003	3759,150919	3313,920082	3460,207087	3526,903818	3701,958685
2021	 Rabat-Salé-Kénitra	1795,574294	3313,694275	3940,15024	3687,977555	3105,778232	3972,093482	3890,112501	5024,819335	3647,346172
2021	 Souss-Massa	2655,434312	2953,811679	3654,804311	3317,455679	3192,537022	3499,322061	3470,835478	3258,029931	3780,007443
2021	Béni Mellal-Khénifra	2015,265636	2651,542813	2978,449679	2322,466232	2222,216066	3098,981493	2940,798748	2780,583046	3288,712956
2021	Drâa-Tafilalet	1796,499886	2802,377891	2746,197241	2174,725751	2774,040916	2848,808941	2636,300166	2733,709449	2730,60598
2021	Eddakhla-Oued Eddahab	6032,810886	3171,333779	3345,897677	2375,26578	3165,313815	3722,856366	3026,58267	2797,523303	3709,625978
2021	Fès-Meknès	2147,563972	2696,849688	3277,237776	3317,065303	2657,150349	3293,162765	3015,845312	3463,45433	3265,010348
2021	Grand Casablanca-Settat	2825,831639	3892,668486	5296,575796	4683,572939	3258,031882	5202,065133	4802,474406	5483,656953	5634,841006
2021	Guelmim-Oued Noun	4086,818719	2868,545905	2958,026765	2126,614708	1838,482575	3088,248526	2629,000646	2717,798206	3019,138257
2021	Laayoune-Sakia El Hamra	5824,474287	3176,179336	3440,265011	2399,758689	2963,474315	2711,352427	2707,478872	2877,970758	3065,053568
2021	Oriental	2232,869774	3036,557752	3025,88603	2705,509764	2402,845232	2836,202549	2890,077267	2790,964455	3229,575677
2021	Tanger-Tetouan-Al Hoceima	2332,128965	3138,255808	3657,558561	3773,350452	2858,692316	3713,722073	3452,866903	3914,267676	5085,29178
2022	 Marrakech-Safi	3033,541223	3182,002736	3568,051215	5203,71324	4379,7637	3422,99268	3611,65672	3529,323759	3665,718963
2022	 Rabat-Salé-Kénitra	1834,211022	3402,892319	3998,641236	3809,887318	3356,310048	4141,883819	3936,448356	5079,97886	3671,616878
2022	 Souss-Massa	2742,212667	3018,95344	3736,417739	3359,287653	3385,932145	3579,879896	3514,601552	3327,381516	3862,411864
2022	Béni Mellal-Khénifra	2123,426084	2735,260016	3058,515815	2432,018514	2397,338619	3103,817896	3022,076005	2771,317951	3369,789377
2022	Drâa-Tafilalet	1984,889946	2864,774138	2813,06505	2314,990199	2945,024645	2853,356339	2746,492619	2684,07286	2803,84799
2022	Eddakhla-Oued Eddahab	6944,011621	3569,253103	3574,152223	2449,794345	3343,625564	3522,553703	2976,752904	3420,406848	3609,621708
2022	Fès-Meknès	2100,387507	2746,294765	3325,97098	3481,976702	2770,801843	3359,211254	2912,754913	3469,408909	3298,709644
2022	Grand Casablanca-Settat	2960,757363	3960,961477	5400,779012	4757,143054	3447,70734	5323,053551	4710,639028	5539,442928	5804,801614
2022	Guelmim-Oued Noun	3978,201955	2832,496597	2967,635348	2416,858186	2093,940669	3046,740156	2793,06362	2840,544736	3167,207077
2022	Laayoune-Sakia El Hamra	5784,804562	3287,248956	3623,694051	2694,018254	3031,503528	2829,787605	2782,66531	2954,531685	3193,0942
2022	Oriental	2269,657808	3103,518122	3091,449043	2790,329308	2538,115916	2948,016516	2885,566729	2809,817611	3228,38839
2022	Tanger-Tetouan-Al Hoceima	2355,331636	3264,356061	3740,392102	3937,024689	3112,473953	3811,521182	3567,24663	3795,810689	4942,680497
2023	 Marrakech-Safi	2951,628882	3260,611748	3713,900983	5600,066951	4658,062855	3449,942672	3848,401075	3612,114535	3783,088582
2023	 Rabat-Salé-Kénitra	1943,62709	3573,540201	4228,92515	3892,932468	3564,885422	4351,040514	4096,777934	5271,792321	3784,792733
2023	 Souss-Massa	2674,848786	3188,170894	3870,547042	3511,016393	3673,587186	3739,50655	3772,830301	3465,696285	3950,326009
2023	Béni Mellal-Khénifra	2236,067442	2878,162205	3195,603948	2513,453112	2547,415757	3299,837352	3130,352904	2994,049975	3579,790605
2023	Drâa-Tafilalet	2125,445871	3007,597707	2940,660478	2437,554148	3116,663816	2934,005383	2887,536822	2826,648859	2920,577095
2023	Eddakhla-Oued Eddahab	5072,281661	3779,629365	3772,855795	2573,011227	3599,663664	3759,365293	3100,544257	3431,7443	3575,598858
2023	Fès-Meknès	2286,425572	2921,239722	3430,496808	3643,501219	2912,87705	3570,217267	2913,458709	3808,703352	3369,789526
2023	Grand Casablanca-Settat	3195,061344	4174,014291	5631,359701	4994,503031	3644,955752	5532,535423	4747,438499	5684,69449	6023,722666
2023	Guelmim-Oued Noun	4138,281774	2889,021832	3084,035113	2393,425954	2231,310937	3181,284811	2961,415234	3002,660847	3220,337998
2023	Laayoune-Sakia El Hamra	5856,74095	3410,36325	3575,290972	2790,807389	3331,273236	2905,997749	3226,961405	3066,539308	3301,483766
2023	Oriental	2681,642748	3225,55994	3199,685839	2978,402055	2706,67559	3195,278661	3090,963179	3066,616822	3365,203222
2023	Tanger-Tetouan-Al Hoceima	2355,918541	3428,751777	4008,805638	4083,539174	3299,300287	4020,052247	3662,284958	3982,765291	5089,802884
